Material,Material_Condition,pH,Time_days,Cumulative_Release_mg_m2,Cement_Type,Form_Type,Stat_Measure,Material_encoded,Cement_Type_encoded,Form_Type_encoded,Stat_Measure_encoded,log_Time,log_pH,sqrt_Time,sqrt_pH,pH_squared,pH_cubed,Time_squared,Time_pH_interaction,log_Time_pH,Material_pH_interaction,Material_Time_interaction,pH_normalized,Time_normalized,Alkalinity_index,Reactivity_score,Leaching_potential,Material_group,log_Release,Cement_Content,Additives_Count
Al,"Cement concrete statistics Monolith-[CL-](M,1,1)",12.08,0.08,0.3033333333333334,Unknown,Concrete,CL_Minus,0,4,0,0,0.07696104113612832,2.4915511925066687,0.282842712474619,3.4756294393965534,145.9264,1762.790912,0.0064,0.9664,0.9296893769244302,0.0,0.0,2.3022533039897715,-2.0083374870318833,5.08,0.9296893769244302,41.274218797656246,0,0.26492508532916476,80,1
Al,"Cement concrete statistics Monolith-[CL-](M,1,1)",11.91,1.0,0.9146321076181347,Unknown,Concrete,CL_Minus,0,4,0,0,0.6931471805599453,2.477378383367209,1.0,3.4510867853474796,141.84810000000002,1689.410871,1.0,11.91,8.255382920468948,0.0,0.0,2.2474315254784023,-1.8533606672200356,4.91,8.255382920468948,141.84810000000002,0,0.6495254932725775,80,1
Al,"Cement concrete statistics Monolith-[CL-](M,1,1)",11.84,2.25,2.931700314455001,Unknown,Concrete,CL_Minus,0,4,0,0,1.1786549963416462,2.4714836294558595,1.5,3.4409301068170506,140.1856,1659.797504,5.0625,26.64,13.95527515668509,0.0,0.0,2.224857851973721,-1.6427943359539383,4.84,13.95527515668509,210.27839999999998,0,1.3690719823037,80,1
Al,"Cement concrete statistics Monolith-[CL-](M,1,1)",11.67,4.0,6.730286965433494,Unknown,Concrete,CL_Minus,0,4,0,0,1.6094379124341003,2.4570214462984645,2.0,3.4161381705077445,136.1889,1589.324463,16.0,46.68,18.78214043810595,0.0,0.0,2.170036073462352,-1.348001472181402,4.67,18.78214043810595,272.3778,0,2.0451459855109775,80,1
Al,"Cement concrete statistics Monolith-[CL-](M,1,1)",11.88,9.0,11.10055896836764,Unknown,Concrete,CL_Minus,0,4,0,0,2.302585092994046,2.474856313934499,3.0,3.4467375879228173,141.13440000000003,1676.6766720000003,81.0,106.92,27.354710904769266,0.0,0.0,2.237757093976396,-0.5057361471170125,4.880000000000001,27.354710904769266,423.4032000000001,0,2.4932516472685684,80,1
Al,"Cement concrete statistics Monolith-[CL-](M,1,1)",11.88,16.0,14.387251754518953,Unknown,Concrete,CL_Minus,0,4,0,0,2.833213344056216,2.474856313934499,4.0,3.4467375879228173,141.13440000000003,1676.6766720000003,256.0,190.08,33.65857452738785,0.0,0.0,2.237757093976396,0.6734353079731327,4.880000000000001,33.65857452738785,564.5376000000001,0,2.7335393584490912,80,1
Al,"Cement concrete statistics Monolith-[CL-](M,1,1)",11.83,28.0,20.02046751854519,Unknown,Concrete,CL_Minus,0,4,0,0,3.367295829986474,2.4706386779902956,5.291502622129181,3.4394767043839676,139.9489,1655.595487,784.0,331.24,39.83510966873999,0.0,0.0,2.2216330414730523,2.6948720881276675,4.83,39.83510966873999,740.5399713140946,0,3.045496606806849,80,1
Al,"Cement concrete statistics Monolith-[CL-](M,1,1)",11.83,36.0,26.222262602064355,Unknown,Concrete,CL_Minus,0,4,0,0,3.6109179126442243,2.4706386779902956,6.0,3.4394767043839676,139.9489,1655.595487,1296.0,425.88,42.717158906581176,0.0,0.0,2.2216330414730523,4.042496608230691,4.83,42.717158906581176,839.6934000000001,0,3.304035116548547,80,1
Al,"Cement concrete statistics Monolith-[CL-](M,1,1)",11.66,64.0,29.795776891240287,Unknown,Concrete,CL_Minus,0,4,0,0,4.174387269895637,2.4561641809223462,8.0,3.4146742157927745,135.9556,1585.2422960000001,4096.0,746.24,48.673355566983126,0.0,0.0,2.166811262961683,8.759182428591272,4.66,48.673355566983126,1087.6448,0,3.427377566657786,80,1
Al,"Cement concrete statistics Monolith-[CL+](M,1,1)",12.08,0.08,81.32438777670146,Unknown,Concrete,CL_Plus,0,4,0,1,0.07696104113612832,2.4915511925066687,0.282842712474619,3.4756294393965534,145.9264,1762.790912,0.0064,0.9664,0.9296893769244302,0.0,0.0,2.3022533039897715,-2.0083374870318833,5.08,0.9296893769244302,41.274218797656246,0,4.410667391571568,80,1
Al,"Cement concrete statistics Monolith-[CL+](M,1,1)",11.91,1.0,216.1702924497661,Unknown,Concrete,CL_Plus,0,4,0,1,0.6931471805599453,2.477378383367209,1.0,3.4510867853474796,141.84810000000002,1689.410871,1.0,11.91,8.255382920468948,0.0,0.0,2.2474315254784023,-1.8533606672200356,4.91,8.255382920468948,141.84810000000002,0,5.380681803612056,80,1
Al,"Cement concrete statistics Monolith-[CL+](M,1,1)",11.84,2.25,313.46943735401203,Unknown,Concrete,CL_Plus,0,4,0,1,1.1786549963416462,2.4714836294558595,1.5,3.4409301068170506,140.1856,1659.797504,5.0625,26.64,13.95527515668509,0.0,0.0,2.224857851973721,-1.6427943359539383,4.84,13.95527515668509,210.27839999999998,0,5.750886892893752,80,1
Al,"Cement concrete statistics Monolith-[CL+](M,1,1)",11.67,4.0,406.72833816995137,Unknown,Concrete,CL_Plus,0,4,0,1,1.6094379124341003,2.4570214462984645,2.0,3.4161381705077445,136.1889,1589.324463,16.0,46.68,18.78214043810595,0.0,0.0,2.170036073462352,-1.348001472181402,4.67,18.78214043810595,272.3778,0,6.010601114816968,80,1
Al,"Cement concrete statistics Monolith-[CL+](M,1,1)",11.88,9.0,541.8064703569836,Unknown,Concrete,CL_Plus,0,4,0,1,2.302585092994046,2.474856313934499,3.0,3.4467375879228173,141.13440000000003,1676.6766720000003,81.0,106.92,27.354710904769266,0.0,0.0,2.237757093976396,-0.5057361471170125,4.880000000000001,27.354710904769266,423.4032000000001,0,6.296752848223093,80,1
Al,"Cement concrete statistics Monolith-[CL+](M,1,1)",11.88,16.0,747.4737192125542,Unknown,Concrete,CL_Plus,0,4,0,1,2.833213344056216,2.474856313934499,4.0,3.4467375879228173,141.13440000000003,1676.6766720000003,256.0,190.08,33.65857452738785,0.0,0.0,2.237757093976396,0.6734353079731327,4.880000000000001,33.65857452738785,564.5376000000001,0,6.6180360919707955,80,1
Al,"Cement concrete statistics Monolith-[CL+](M,1,1)",11.83,28.0,937.7787419419352,Unknown,Concrete,CL_Plus,0,4,0,1,3.367295829986474,2.4706386779902956,5.291502622129181,3.4394767043839676,139.9489,1655.595487,784.0,331.24,39.83510966873999,0.0,0.0,2.2216330414730523,2.6948720881276675,4.83,39.83510966873999,740.5399713140946,0,6.844579819858046,80,1
Al,"Cement concrete statistics Monolith-[CL+](M,1,1)",11.83,36.0,1133.0835214928318,Unknown,Concrete,CL_Plus,0,4,0,1,3.6109179126442243,2.4706386779902956,6.0,3.4394767043839676,139.9489,1655.595487,1296.0,425.88,42.717158906581176,0.0,0.0,2.2216330414730523,4.042496608230691,4.83,42.717158906581176,839.6934000000001,0,7.033580133685595,80,1
Al,"Cement concrete statistics Monolith-[CL+](M,1,1)",11.66,64.0,1443.5058625130673,Unknown,Concrete,CL_Plus,0,4,0,1,4.174387269895637,2.4561641809223462,8.0,3.4146742157927745,135.9556,1585.2422960000001,4096.0,746.24,48.673355566983126,0.0,0.0,2.166811262961683,8.759182428591272,4.66,48.673355566983126,1087.6448,0,7.275522578404851,80,1
Al,"Cement concrete statistics Monolith-[LPx](M,1,1)",12.08,0.08,0.3033333333333334,Unknown,Concrete,LPx,0,4,0,2,0.07696104113612832,2.4915511925066687,0.282842712474619,3.4756294393965534,145.9264,1762.790912,0.0064,0.9664,0.9296893769244302,0.0,0.0,2.3022533039897715,-2.0083374870318833,5.08,0.9296893769244302,41.274218797656246,0,0.26492508532916476,80,1
Al,"Cement concrete statistics Monolith-[LPx](M,1,1)",11.91,1.0,1.1700000000000002,Unknown,Concrete,LPx,0,4,0,2,0.6931471805599453,2.477378383367209,1.0,3.4510867853474796,141.84810000000002,1689.410871,1.0,11.91,8.255382920468948,0.0,0.0,2.2474315254784023,-1.8533606672200356,4.91,8.255382920468948,141.84810000000002,0,0.7747271675523683,80,1
Al,"Cement concrete statistics Monolith-[LPx](M,1,1)",11.84,2.25,4.303633330382822,Unknown,Concrete,LPx,0,4,0,2,1.1786549963416462,2.4714836294558595,1.5,3.4409301068170506,140.1856,1659.797504,5.0625,26.64,13.95527515668509,0.0,0.0,2.224857851973721,-1.6427943359539383,4.84,13.95527515668509,210.27839999999998,0,1.66839211972145,80,1
Al,"Cement concrete statistics Monolith-[LPx](M,1,1)",11.67,4.0,10.891795063077579,Unknown,Concrete,LPx,0,4,0,2,1.6094379124341003,2.4570214462984645,2.0,3.4161381705077445,136.1889,1589.324463,16.0,46.68,18.78214043810595,0.0,0.0,2.170036073462352,-1.348001472181402,4.67,18.78214043810595,272.3778,0,2.475848671811911,80,1
Al,"Cement concrete statistics Monolith-[LPx](M,1,1)",11.88,9.0,15.137963053205954,Unknown,Concrete,LPx,0,4,0,2,2.302585092994046,2.474856313934499,3.0,3.4467375879228173,141.13440000000003,1676.6766720000003,81.0,106.92,27.354710904769266,0.0,0.0,2.237757093976396,-0.5057361471170125,4.880000000000001,27.354710904769266,423.4032000000001,0,2.7811744499953854,80,1
Al,"Cement concrete statistics Monolith-[LPx](M,1,1)",11.88,16.0,17.19606359497476,Unknown,Concrete,LPx,0,4,0,2,2.833213344056216,2.474856313934499,4.0,3.4467375879228173,141.13440000000003,1676.6766720000003,256.0,190.08,33.65857452738785,0.0,0.0,2.237757093976396,0.6734353079731327,4.880000000000001,33.65857452738785,564.5376000000001,0,2.901205284699164,80,1
Al,"Cement concrete statistics Monolith-[LPx](M,1,1)",11.83,28.0,20.85639230629129,Unknown,Concrete,LPx,0,4,0,2,3.367295829986474,2.4706386779902956,5.291502622129181,3.4394767043839676,139.9489,1655.595487,784.0,331.24,39.83510966873999,0.0,0.0,2.2216330414730523,2.6948720881276675,4.83,39.83510966873999,740.5399713140946,0,3.084493432819678,80,1
Al,"Cement concrete statistics Monolith-[LPx](M,1,1)",11.83,36.0,25.644591748854864,Unknown,Concrete,LPx,0,4,0,2,3.6109179126442243,2.4706386779902956,6.0,3.4394767043839676,139.9489,1655.595487,1296.0,425.88,42.717158906581176,0.0,0.0,2.2216330414730523,4.042496608230691,4.83,42.717158906581176,839.6934000000001,0,3.282586193764405,80,1
Al,"Cement concrete statistics Monolith-[LPx](M,1,1)",11.66,64.0,27.604849359452565,Unknown,Concrete,LPx,0,4,0,2,4.174387269895637,2.4561641809223462,8.0,3.4146742157927745,135.9556,1585.2422960000001,4096.0,746.24,48.673355566983126,0.0,0.0,2.166811262961683,8.759182428591272,4.66,48.673355566983126,1087.6448,0,3.353576261475287,80,1
Al,"Cement concrete statistics Monolith-[Med](M,1,1)",12.08,0.08,6.961365812320196,Unknown,Concrete,Med,0,4,0,3,0.07696104113612832,2.4915511925066687,0.282842712474619,3.4756294393965534,145.9264,1762.790912,0.0064,0.9664,0.9296893769244302,0.0,0.0,2.3022533039897715,-2.0083374870318833,5.08,0.9296893769244302,41.274218797656246,0,2.0746005695996974,80,1
Al,"Cement concrete statistics Monolith-[Med](M,1,1)",11.91,1.0,21.316685054836775,Unknown,Concrete,Med,0,4,0,3,0.6931471805599453,2.477378383367209,1.0,3.4510867853474796,141.84810000000002,1689.410871,1.0,11.91,8.255382920468948,0.0,0.0,2.2474315254784023,-1.8533606672200356,4.91,8.255382920468948,141.84810000000002,0,3.1053346074345325,80,1
Al,"Cement concrete statistics Monolith-[Med](M,1,1)",11.84,2.25,41.51436625098079,Unknown,Concrete,Med,0,4,0,3,1.1786549963416462,2.4714836294558595,1.5,3.4409301068170506,140.1856,1659.797504,5.0625,26.64,13.95527515668509,0.0,0.0,2.224857851973721,-1.6427943359539383,4.84,13.95527515668509,210.27839999999998,0,3.7498420482461357,80,1
Al,"Cement concrete statistics Monolith-[Med](M,1,1)",11.67,4.0,64.12102561122353,Unknown,Concrete,Med,0,4,0,3,1.6094379124341003,2.4570214462984645,2.0,3.4161381705077445,136.1889,1589.324463,16.0,46.68,18.78214043810595,0.0,0.0,2.170036073462352,-1.348001472181402,4.67,18.78214043810595,272.3778,0,4.176247471128363,80,1
Al,"Cement concrete statistics Monolith-[Med](M,1,1)",11.88,9.0,98.02658049729916,Unknown,Concrete,Med,0,4,0,3,2.302585092994046,2.474856313934499,3.0,3.4467375879228173,141.13440000000003,1676.6766720000003,81.0,106.92,27.354710904769266,0.0,0.0,2.237757093976396,-0.5057361471170125,4.880000000000001,27.354710904769266,423.4032000000001,0,4.595388303969344,80,1
Al,"Cement concrete statistics Monolith-[Med](M,1,1)",11.88,16.0,137.7351862239169,Unknown,Concrete,Med,0,4,0,3,2.833213344056216,2.474856313934499,4.0,3.4467375879228173,141.13440000000003,1676.6766720000003,256.0,190.08,33.65857452738785,0.0,0.0,2.237757093976396,0.6734353079731327,4.880000000000001,33.65857452738785,564.5376000000001,0,4.932566980972902,80,1
Al,"Cement concrete statistics Monolith-[Med](M,1,1)",11.83,28.0,181.8984359028475,Unknown,Concrete,Med,0,4,0,3,3.367295829986474,2.4706386779902956,5.291502622129181,3.4394767043839676,139.9489,1655.595487,784.0,331.24,39.83510966873999,0.0,0.0,2.2216330414730523,2.6948720881276675,4.83,39.83510966873999,740.5399713140946,0,5.208931003708245,80,1
Al,"Cement concrete statistics Monolith-[Med](M,1,1)",11.83,36.0,228.29454776742082,Unknown,Concrete,Med,0,4,0,3,3.6109179126442243,2.4706386779902956,6.0,3.4394767043839676,139.9489,1655.595487,1296.0,425.88,42.717158906581176,0.0,0.0,2.2216330414730523,4.042496608230691,4.83,42.717158906581176,839.6934000000001,0,5.435007411855132,80,1
